PlayerID,,,,,,Popular Stats,,,,,,,,,Additional Stats,,,,,,,
,Player,Team,Pos,G,Min,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO,OREB,DREB,3PA,3P%,FGM,FGA,FTM,FTA
1013,Makayla Timpson,IND,F,31,7.1,2.6,1.8,0.0,0.4,0.3,0.0,56.1,66.7,0.3,0.6,1.3,0.0,0.0,1.0,1.8,0.6,0.9
381,Lindsay Allen,CON,G,31,14.5,2.4,1.0,2.0,0.3,0.2,0.1,40.0,82.6,1.0,0.3,0.7,0.6,16.7,0.8,2.1,0.6,0.7
246,Courtney Vandersloot,CHI,G,7,27.3,10.6,3.1,5.3,1.6,0.3,0.7,43.9,84.6,2.4,0.3,2.9,3.3,21.7,4.1,9.4,1.6,1.9
293,Aerial Powers,IND,G,8,20.0,9.0,4.6,2.4,0.9,0.1,0.9,42.9,64.7,1.4,1.1,3.5,2.4,36.8,3.4,7.9,1.4,2.1
459,Shatori Walker-Kimbrough,ATL,G,41,8.6,1.7,0.9,0.5,0.2,0.3,0.3,41.3,72.7,0.4,0.1,0.8,0.8,35.5,0.6,1.5,0.2,0.3
410,Sydney Colson,IND,G,30,13.5,2.4,0.8,2.0,0.5,0.2,0.4,34.2,85.7,1.2,0.2,0.6,1.6,27.7,0.9,2.5,0.2,0.2
914,Aaliyah Edwards,CON,F,15,17.0,4.6,4.2,0.7,0.9,0.5,0.0,40.0,67.7,1.2,1.5,2.7,0.1,0.0,1.6,4.0,1.4,2.1
431,Alysha Clark,WAS,F,15,22.9,4.5,3.5,1.5,0.5,0.1,0.7,36.2,61.5,0.3,0.5,3.1,2.7,24.4,1.7,4.6,0.5,0.9
414,Haley Peters,CON,F,33,11.5,2.1,2.2,0.8,0.3,0.1,0.2,30.5,76.9,0.7,0.8,1.5,1.2,20.5,0.8,2.5,0.3,0.4
310,Tiffany Mitchell,SEA,G,23,13.0,2.9,0.6,0.2,0.3,0.2,0.3,39.3,66.7,0.4,0.2,0.3,0.7,41.2,1.0,2.7,0.5,0.8
910,Sevgi Uzun,CHI,G,18,18.7,3.7,1.4,2.7,0.5,0.0,0.2,34.6,70.0,1.8,0.1,1.3,1.2,18.2,1.6,4.5,0.4,0.6
462,DeWanna Bonner,IND,G,9,21.3,7.1,3.8,1.6,1.2,0.1,1.0,34.5,89.5,1.1,0.4,3.3,2.8,36.0,2.1,6.1,1.9,2.1
861,Grace Berger,DAL,G,18,22.3,3.6,3.4,3.2,0.8,0.4,0.1,30.6,66.7,1.0,0.6,2.8,1.2,9.5,1.4,4.7,0.6,0.8
579,Megan Gustafson,LVA,C,20,11.3,3.0,1.8,0.3,0.2,0.3,0.7,35.1,46.7,0.3,0.4,1.4,2.0,33.3,1.0,2.9,0.4,0.8
310,Tiffany Mitchell,LVA,G,16,13.1,3.7,1.8,0.4,0.4,0.2,0.3,39.0,79.3,0.9,0.4,1.4,0.8,30.8,1.0,2.6,1.4,1.8
853,Diamond Miller,DAL,F,15,12.7,3.9,2.0,1.1,0.3,0.2,0.2,33.8,53.8,0.9,0.5,1.5,1.7,12.0,1.6,4.7,0.5,0.9
906,Julie Vanloo,LAS,G,26,10.3,2.2,0.6,1.2,0.3,0.0,0.7,30.2,75.0,1.0,0.1,0.5,2.1,31.5,0.7,2.4,0.1,0.2
401,Stephanie Talbot,GSV,F,16,16.8,3.6,3.3,2.0,0.6,0.1,0.5,33.9,64.3,1.2,0.9,2.4,2.0,25.0,1.3,3.7,0.6,0.9
401,Stephanie Talbot,NYL,F,22,12.4,2.5,2.2,1.5,0.5,0.2,0.4,42.2,64.3,1.0,0.5,1.6,1.1,33.3,0.9,2.0,0.4,0.6
344,Karlie Samuelson,MIN,G,16,14.3,3.3,1.3,1.1,0.4,0.1,0.8,33.3,92.9,0.7,0.2,1.1,2.1,35.3,0.9,2.6,0.8,0.9
490,Lexie Brown,SEA,G,24,9.5,2.1,0.7,1.0,0.4,0.0,0.4,35.4,70.0,0.3,0.1,0.6,1.5,27.0,0.7,2.0,0.3,0.4
1021,Kaitlyn Chen,GSV,G,24,10.3,2.0,0.9,1.0,0.2,0.0,0.2,38.0,71.4,0.8,0.2,0.7,0.6,33.3,0.8,2.1,0.2,0.3
632,Shey Peddy,IND,G,9,14.1,5.2,0.8,1.7,0.4,0.0,1.2,54.8,66.7,1.0,0.1,0.7,2.4,50.0,1.9,3.4,0.2,0.3
751,Kiana Williams,PHO,G,11,9.7,4.1,1.0,0.9,0.3,0.0,0.8,42.5,50.0,0.5,0.0,1.0,2.4,34.6,1.5,3.6,0.2,0.4
376,Kiah Stokes,LVA,C,40,12.9,1.1,3.6,0.4,0.4,0.4,0.1,35.3,62.5,0.4,0.7,2.9,0.6,13.0,0.5,1.3,0.1,0.2
906,Julie Vanloo,GSV,G,9,20.0,4.6,1.9,4.1,0.7,0.0,0.9,29.2,83.3,2.6,0.2,1.7,4.2,21.1,1.6,5.3,0.6,0.7
1039,Murjanatu Musa,PHO,C,12,10.2,3.3,2.6,0.6,0.3,0.2,0.1,45.7,63.6,0.6,1.5,1.1,0.2,50.0,1.3,2.9,0.6,0.9
